Protein_Gene	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
protein_1000	5844400	424060	5932100	34239000	23350000	64245000
protein_1001	37896000	9945700	19995000	25764000	23396000	47820000
protein_1002	329800000	92191000	211360000	464170000	434550000	648340000
protein_1003	16600000	3392500	12162000	119260000	152440000	216150000
protein_1004	27316000	24227000	28667000	436240000	405420000	530230000
protein_1005	44523000	10837000	24113000	34155000	46801000	91584000
protein_1006	24475000	1461500	10099000	17499000	10857000	29859000
protein_1007	36645000	8282300	28472000	11535000	10557000	22302000
protein_1008	10693000	10650000	4303900	7280400	13062000	8412700
protein_1009	15408000	6915200	13486000	3779400	4568300	9857500
protein_1010	8920300	2151900	5419900	8941100	7582100	11130000
protein_1011	16371000	5185500	10955000	9925100	7068700	17218000
protein_1012	28792000	4043000	8024000	9274000	8294400	14462000
protein_1013	17806000	2914400	1193700	6042000	9054000	2922700
protein_1014	27149000	8332400	11999000	10299000	12831000	33367000
protein_1015	9858000	2412300	4462500	8221400	5099000	19032000
protein_1016	117380000	25252000	107440000	44195000	11421000	101100000
protein_1017	3476600	442930	2524500	25331000	13612000	23113000
protein_1018	22916000	2383800	10837000	14728000	12316000	11517000
protein_1019	44767000	8159300	34812000	51919000	39113000	102540000
